Country Name,Country Code,GDPPPP_2024
Aruba,ABW,4812141511.37331
Africa Eastern and Southern,AFE,3159001302002.33
Afghanistan,AFG,
Africa Western and Central,AFW,3128703880293.09
Angola,AGO,337255560567.664
Albania,ALB,48948599655.9842
Andorra,AND,5402033635.11601
Arab World,ARB,8248404724262.38
United Arab Emirates,ARE,765771908236.642
Argentina,ARG,1223376004342.6
Armenia,ARM,60908993989.5524
American Samoa,ASM,
Antigua and Barbuda,ATG,2754237217.77357
Australia,AUS,1640076053462.49
Austria,AUT,585445837925.664
Azerbaijan,AZE,225198385162.317
Burundi,BDI,14767865865.0483
Belgium,BEL,751216687125.378
Benin,BEN,56423799507.9997
Burkina Faso,BFA,59994577724.1268
Bangladesh,BGD,1472986459828.03
Bulgaria,BGR,209744996385.211
Bahrain,BHR,93559684338.3106
"Bahamas, The",BHS,14544121121.0956
Bosnia and Herzegovina,BIH,61804531320.6104
Belarus,BLR,265220428363.568
Belize,BLZ,5264035959.20123
Bermuda,BMU,7065486356.13778
Bolivia,BOL,140632330052.604
Brazil,BRA,4166273441898.55
Barbados,BRB,6168436783.44456
Brunei Darussalam,BRN,36588151541.3938
Bhutan,BTN,
Botswana,BWA,45553212807.2757
Central African Republic,CAF,5923566230.74976
Canada,CAN,2341345308573.89
Central Europe and the Baltics,CEB,4249457451657.25
Switzerland,CHE,741034943164.658
Channel Islands,CHI,
Chile,CHL,596555875617.396
China,CHN,33597882047418.8
Cote d'Ivoire,CIV,215461462281.624
Cameroon,CMR,143199513689.651
"Congo, Dem. Rep.",COD,175068770052.875
"Congo, Rep.",COG,39147012969.3478
Colombia,COL,977192682078.988
Comoros,COM,3018062220.97688
Cabo Verde,CPV,5169488779.6525
Costa Rica,CRI,138371299881.655
Caribbean small states,CSS,154235779792.371
Cuba,CUB,
Curacao,CUW,4485931928.22728
Cayman Islands,CYM,
Cyprus,CYP,48736243236.9676
Czechia,CZE,523047638122.857
Germany,DEU,5224343287117.36
Djibouti,DJI,8030434256.31262
Dominica,DMA,1240639596.30121
Denmark,DNK,426944264564.674
Dominican Republic,DOM,276888443219.725
Algeria,DZA,725711643445.634
East Asia & Pacific (excluding high income),EAP,43791401237197.5
Early-demographic dividend,EAR,43295316804126.8
East Asia & Pacific,EAS,57357733085646.2
Europe & Central Asia (excluding high income),ECA,6077209192978.04
Europe & Central Asia,ECS,41527433948172.4
Ecuador,ECU,252727662993.613
"Egypt, Arab Rep.",EGY,1957627322504.22
Euro area,EMU,19804634838553.4
Eritrea,ERI,
Spain,ESP,2367229021292.26
Estonia,EST,56526269527.8885
Ethiopia,ETH,381946190066.437
European Union,EUU,24404101007782.9
Fragile and conflict affected situations,FCS,6192512333729.87
Finland,FIN,315407096563.701
Fiji,FJI,12624462706.4514
France,FRA,3756585907158.45
Faroe Islands,FRO,3940289911.86911
"Micronesia, Fed. Sts.",FSM,432741079.241925
Gabon,GAB,48046268621.9384
United Kingdom,GBR,3642753739205.27
Georgia,GEO,92059436458.5108
Ghana,GHA,242906921529.863
Gibraltar,GIB,
Guinea,GIN,59260261425.5034
"Gambia, The",GMB,8439171637.60406
Guinea-Bissau,GNB,6041125849.26546
Equatorial Guinea,GNQ,29247753194.9258
Greece,GRC,389924903122.161
Grenada,GRD,2080601216.89334
Greenland,GRL,
Guatemala,GTM,232672713446.216
Guam,GUM,
Guyana,GUY,58605530526.6564
High income,HIC,82649122646855.1
"Hong Kong SAR, China",HKG,497749120777.738
Honduras,HND,71296514097.7746
Heavily indebted poor countries (HIPC),HPC,2991304877446.71
Croatia,HRV,157555222397.646
Haiti,HTI,33076710100.7338
Hungary,HUN,389051087730.184
IBRD only,IBD,91801588493220
IDA & IBRD total,IBT,101659185698578
IDA total,IDA,9885087458008.14
IDA blend,IDB,4545060636462.51
Indonesia,IDN,4102194303076.81
IDA only,IDX,5363125195121.13
Isle of Man,IMN,
India,IND,14245349560959
Not classified,INX,
Ireland,IRL,642302599499.143
"Iran, Islamic Rep.",IRN,1600982419419.64
Iraq,IRQ,585886626484.749
Iceland,ISL,26015741028.9644
Israel,ISR,472176550257.167
Italy,ITA,3140115970004.12
Jamaica,JAM,32196993701.627
Jordan,JOR,109986275190.311
Japan,JPN,5716122875047.88
Kazakhstan,KAZ,740796393997.686
Kenya,KEN,329861910700.434
Kyrgyz Republic,KGZ,50906871854.8587
Cambodia,KHM,123628404396.599
Kiribati,KIR,438143459.626784
St. Kitts and Nevis,KNA,1436039666.27531
"Korea, Rep.",KOR,2849979724104.21
Kuwait,KWT,225947312136.531
Latin America & Caribbean (excluding high income),LAC,11282972952223
Lao PDR,LAO,66822965068.7706
Lebanon,LBN,
Liberia,LBR,9239025769.781
Libya,LBY,92881567242.442
St. Lucia,LCA,4359235762.56497
Latin America & Caribbean,LCN,13216869746433
Least developed countries: UN classification,LDC,4701389813815.18
Low income,LIC,1407211447724.23
Liechtenstein,LIE,
Sri Lanka,LKA,301407170002.3
Lower middle income,LMC,28075952252496.7
Low & middle income,LMY,90726369126191.7
Lesotho,LSO,6171463926.93622
Late-demographic dividend,LTE,57781632182100.3
Lithuania,LTU,136226690609.618
Luxembourg,LUX,86979306129.8114
Latvia,LVA,70188039947.5369
"Macao SAR, China",MAC,76733436445.1954
St. Martin (French part),MAF,
Morocco,MAR,354338830185.762
Monaco,MCO,
Moldova,MDA,39341631754.8437
Madagascar,MDG,52967520949.4448
Maldives,MDV,12157538479.3976
"Middle East, North Africa, Afghanistan & Pakistan",MEA,11671079275045.2
Mexico,MEX,2884128005836.94
Marshall Islands,MHL,270693540.418475
Middle income,MIC,89354466524918.1
North Macedonia,MKD,42013919722.6636
Mali,MLI,71384118790.3552
Malta,MLT,33937141082.6164
Myanmar,MMR,287558521666.165
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,7387391171602.08
Montenegro,MNE,16674653410.5408
Mongolia,MNG,59366772678.5888
Northern Mariana Islands,MNP,
Mozambique,MOZ,51958532879.6799
Mauritania,MRT,33511586137.0969
Mauritius,MUS,34895712377.9512
Malawi,MWI,35390077575.2599
Malaysia,MYS,1213093813799.27
North America,NAC,28023139785016.7
Namibia,NAM,31153793845.0744
New Caledonia,NCL,
Niger,NER,48751250109.2132
Nigeria,NGA,1860089921812.28
Nicaragua,NIC,52988712244.5939
Netherlands,NLD,1268520612483.41
Norway,NOR,507663853531.356
Nepal,NPL,149643411660.469
Nauru,NRU,148964293.072557
New Zealand,NZL,260760464700.573
OECD members,OED,74780668654374.8
Oman,OMN,193943781868.603
Other small states,OSS,319238009087.146
Pakistan,PAK,1382061800204.16
Panama,PAN,164344052511.367
Peru,PER,535911373084.806
Philippines,PHL,1201987017721.73
Palau,PLW,
Papua New Guinea,PNG,45357628034.991
Poland,POL,1650760655426.38
Pre-demographic dividend,PRE,5150015319587.23
Puerto Rico (US),PRI,141604056305.924
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,451285619975.167
Paraguay,PRY,112919442526.934
West Bank and Gaza,PSE,20339449744.6379
Pacific island small states,PSS,19678429425.2502
Post-demographic dividend,PST,66762637755388
French Polynesia,PYF,
Qatar,QAT,316903289158.333
Romania,ROU,734248468155.409
Russian Federation,RUS,6088997179872.49
Rwanda,RWA,46542623255.6292
South Asia,SAS,16193748885756.7
Saudi Arabia,SAU,2216602509388.35
Sudan,SDN,93905594489.6469
Senegal,SEN,82535939325.2829
Singapore,SGP,800303664054.59
Solomon Islands,SLB,1927776122.51779
Sierra Leone,SLE,26779577207.271
El Salvador,SLV,73960892033.3419
San Marino,SMR,
"Somalia, Fed. Rep.",SOM,26790260348.198
Serbia,SRB,168588269938.129
Sub-Saharan Africa (excluding high income),SSA,5903962944565.64
South Sudan,SSD,
Sub-Saharan Africa,SSF,6290791671126.04
Small states,SST,493700843516.623
Sao Tome and Principe,STP,1293398436.04085
Suriname,SUR,12167816754.4816
Slovak Republic,SVK,218612696723.355
Slovenia,SVN,103495686631.162
Sweden,SWE,665669058844.783
Eswatini,SWZ,12900985341.5671
Sint Maarten (Dutch part),SXM,2050593492.7802
Seychelles,SYC,3548606461.02571
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1553828160.67349
Chad,TCD,48979060781.1025
East Asia & Pacific (IDA & IBRD countries),TEA,43736897283913.6
Europe & Central Asia (IDA & IBRD countries),TEC,14918515715215.2
Togo,TGO,28172476918.4511
Thailand,THA,1558101282937.74
Tajikistan,TJK,50369738870.8902
Turkmenistan,TKM,139864561024.928
Latin America & the Caribbean (IDA & IBRD countries),TLA,12843521753556.6
Timor-Leste,TLS,5449823119.04932
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,7368269813339.45
Tonga,TON,
South Asia (IDA & IBRD),TSA,16193748885756.7
Sub-Saharan Africa (IDA & IBRD countries),TSS,6290791671126.04
Trinidad and Tobago,TTO,43732137356.2569
Tunisia,TUN,156839034439.788
Turkiye,TUR,3091883611271.66
Tuvalu,TUV,
Tanzania,TZA,246705840510.802
Uganda,UGA,144026964626.23
Ukraine,UKR,577582962162.907
Upper middle income,UMC,61237460985705.9
Uruguay,URY,108502123258.158
United States,USA,25674728990086.7
Uzbekistan,UZB,379988885832.125
St. Vincent and the Grenadines,VCT,1882947831.4265
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Viet Nam,VNM,1455759302312.16
Vanuatu,VUT,1039724287.98133
World,WLD,174198324779017
Samoa,WSM,1675748413.54576
Kosovo,XKX,25057318186.2675
"Yemen, Rep.",YEM,
South Africa,ZAF,870347572712.603
Zambia,ZMB,79037328495.5792
Zimbabwe,ZWE,86752463870.312
